cuadro_origen,paginas,departamento,columna,fragmentos_originales,rotulo_canonico,codigo_canonico,tipo_columna,decision,confianza,evidencia,observaciones
4.1.7,115,TARIJA,col_09,JUZGADO JUZGADO SENTENCIA /ANTI.VIOL ENCIA,,,indeterminado,indeterminado,baja,"Cuadro 4.1.7, p. 115; encabezado visible «JUZGADO SENTENCIA / ANTI.VIOLENCIA», sin desarrollo de la abreviatura.",El PDF solo muestra «JUZGADO SENTENCIA / ANTI.VIOLENCIA»; no se expande la abreviatura sin evidencia adicional.
4.1.7,115,TARIJA,col_10,"EN JUZGADO SENTENCIA PUBLICO, TRABAJO JUEZ TÉCNICO","Juzgado Sentencia, Público, Trabajo y Juez Técnico",juzgado_sentencia_publico_trabajo_juez_tecnico,organo_judicial,confirmado,alta,"Cuadro 4.1.7, p. 115; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_10.",
4.1.7,115,TARIJA,col_11,PROVINCIAS TRIBUNAL DE SENTENCIA CON AMPLIACIO DE COMPETEN CIAS,Tribunal de Sentencia con Ampliación de Competencias,tribunal_sentencia_ampliacion_competencias,organo_judicial,confirmado,alta,"Cuadro 4.1.7, p. 115; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_11.",
4.1.7,115,TARIJA,col_12,TRIBUNAL DE SENTENCIA,Tribunal de Sentencia,tribunal_sentencia,organo_judicial,confirmado,alta,"Cuadro 4.1.7, p. 115; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_12.",
4.1.7,115,TARIJA,col_13,EJECUC IÓN PENAL,Ejecución Penal,ejecucion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.7, p. 115; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_13.",
4.1.7,115,TARIJA,col_14,CONCILI ADOR,Conciliador,conciliador,conciliador,confirmado,alta,"Cuadro 4.1.7, p. 115; encabezado CONCILIADOR visible; posición y totales confirman la columna.","Categoría separada: el Anuario la cuenta en el total, pero corresponde a recurso humano."
4.1.7,115,TARIJA,col_15,JUZGADO AGROAMBI ENTAL,Juzgado Agroambiental,juzgado_agroambiental,organo_judicial,confirmado,alta,"Cuadro 4.1.7, p. 115; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_15.",
4.1.7,115,TARIJA,col_16,TOTALES,Total,total,total,confirmado,alta,"Cuadro 4.1.7, p. 115; última columna rotulada TOTALES; reproduce la suma publicada de categorías, sin población.",Suma las categorías publicadas de órgano y conciliador; no incluye la población.
4.1.8,116,SANTA CRUZ,col_01,"TRIBUNALES Y POBLACIÓN PROYECTAD A AL 2022 de Yapacani, Camiri, tiene de Puerto Suarez,",Población proyectada al 2022,poblacion_proyectada_2022,poblacion,confirmado,alta,"Cuadro 4.1.8, p. 116; primera columna rotulada POBLACIÓN PROYECTADA AL 2022; se excluye de la suma de órganos.",No representa un número de juzgados y se excluye de la suma del total.
4.1.8,116,SANTA CRUZ,col_02,CONCILIADORES JUZGADO DE INSTRUCCI PENAL tiene competencia,Juzgado de Instrucción Penal,juzgado_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_02.",
4.1.8,116,SANTA CRUZ,col_03,SANTA JUZGADO PÚBLICO FAMILIA competencia en competencia,Juzgado Público de Familia,juzgado_publico_familia,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_03.",
4.1.8,116,SANTA CRUZ,col_04,NÚMERO JUZGADO PÚBLICO CIVIL COMERCIAL materia materia de en materia,Juzgado Público Civil y Comercial,juzgado_publico_civil_comercial,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_04.",
4.1.8,116,SANTA CRUZ,col_05,DE JUZGADO PÚBLICO MIXTO Partido Instrucción de,Juzgado Público Mixto,juzgado_publico_mixto,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_05.",
4.1.8,116,SANTA CRUZ,col_06,"JUZGADOS, JUZGADO PÚBLICO MIXTO INSTRUCCI PENAL Trabajo de Trabajo",Juzgado Público Mixto e Instrucción Penal,juzgado_publico_mixto_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_06.",
4.1.8,116,SANTA CRUZ,col_07,JUZGADO PÚBLICO MIXTO DE SENTENCIA PENAL y SS,Juzgado Público Mixto y de Sentencia Penal,juzgado_publico_mixto_sentencia_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_07.",
4.1.8,116,SANTA CRUZ,col_08,TRIBUNALES JUZGADO PÚBLICO MIXTO PARTIDO INSTRUCCI PENAL,"Juzgado Público Mixto, Partido e Instrucción Penal",juzgado_publico_mixto_partido_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_08.",
4.1.8,116,SANTA CRUZ,col_09,CONCILIADORES DE JUZGADO PÚBLICO MIXTO PARTIDO DE SENTENCIA PENAL,"Juzgado Público Mixto, Partido y de Sentencia Penal",juzgado_publico_mixto_partido_sentencia_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_09.",
4.1.8,116,SANTA CRUZ,col_10,JUZGADO JUZGADO PARTIDO MIXTO,Juzgado Partido Mixto,juzgado_partido_mixto,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_10.",
4.1.8,116,SANTA CRUZ,col_11,PROVINCIAS JUZGADO DE SENTENCIA,Juzgado de Sentencia,juzgado_sentencia,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_11.",
4.1.8,116,SANTA CRUZ,col_12,JUZGADO DE PARTIDO DEL TRABAJO SS E INSTRUCCI PENAL,Juzgado de Partido del Trabajo y SS e Instrucción Penal,juzgado_partido_trabajo_ss_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_12.",Se conserva la abreviatura «SS» usada por el cuadro; no se fuerza una expansión.
4.1.8,116,SANTA CRUZ,col_13,TRIBUNAL DE SENTENCIA CON AMPLIACIO DE COMPETEN CIAS,Tribunal de Sentencia con Ampliación de Competencias,tribunal_sentencia_ampliacion_competencias,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_13.",
4.1.8,116,SANTA CRUZ,col_14,TRIBUNA DE SENTENC IA,Tribunal de Sentencia,tribunal_sentencia,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_14.",
4.1.8,116,SANTA CRUZ,col_15,EJECUCIÓ PENAL,Ejecución Penal,ejecucion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_15.",
4.1.8,116,SANTA CRUZ,col_16,CONCILIA DOR,Conciliador,conciliador,conciliador,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado CONCILIADOR visible; posición y totales confirman la columna.","Categoría separada: el Anuario la cuenta en el total, pero corresponde a recurso humano."
4.1.8,116,SANTA CRUZ,col_17,JUZGADO AGROAMBI ENTAL,Juzgado Agroambiental,juzgado_agroambiental,organo_judicial,confirmado,alta,"Cuadro 4.1.8, p. 116; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_17.",
4.1.8,116,SANTA CRUZ,col_18,TOTAL ES,Total,total,total,confirmado,alta,"Cuadro 4.1.8, p. 116; última columna rotulada TOTALES; reproduce la suma publicada de categorías, sin población.",Suma las categorías publicadas de órgano y conciliador; no incluye la población.
4.1.9,117,BENI,col_01,TRIBUNALES Y POBLACIÓN PROYECTADA AL 2022,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,confirmado,alta,"Cuadro 4.1.9, p. 117; primera columna rotulada POBLACIÓN PROYECTADA AL 2022; se excluye de la suma de órganos.",No representa un número de juzgados y se excluye de la suma del total.
4.1.9,117,BENI,col_02,BENI: CONCILIADORES JUZGADO DE INSTRUCCI PENAL,Juzgado de Instrucción Penal,juzgado_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.9, p. 117; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_02.",
4.1.9,117,BENI,col_03,NÚMERO JUZGADO DE INSTRUCCI CONTRA LA VIOLENCIA,Juzgado de Instrucción Contra la Violencia,juzgado_instruccion_contra_violencia,organo_judicial,confirmado,alta,"Cuadro 4.1.9, p. 117; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_03.",
4.1.9,117,BENI,col_04,"JUZGADOS, JUZGADO PÚBLICO CIVIL COMERCIAL",Juzgado Público Civil y Comercial,juzgado_publico_civil_comercial,organo_judicial,confirmado,alta,"Cuadro 4.1.9, p. 117; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_04.",
4.1.9,117,BENI,col_05,TRIBUNALES JUZGADO PÚBLICO MIXTO,Juzgado Público Mixto,juzgado_publico_mixto,organo_judicial,confirmado,alta,"Cuadro 4.1.9, p. 117; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_05.",
4.1.9,117,BENI,col_06,JUZGADO PÚBLICO MIXTO INSTRUCCI PENAL,Juzgado Público Mixto e Instrucción Penal,juzgado_publico_mixto_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.9, p. 117; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_06.",
4.1.9,117,BENI,col_07,TIPO JUZGADO PÚBLICO MIXTO PARTIDO INSTRUCCI PENAL,"Juzgado Público Mixto, Partido e Instrucción Penal",juzgado_publico_mixto_partido_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.9, p. 117; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_07.",
4.1.9,117,BENI,col_08,CONCILIADORES JUZGADO JUZGADO PÚBLICO MIXTO PARTIDO DE SENTENCIA PENAL,"Juzgado Público Mixto, Partido y de Sentencia Penal",juzgado_publico_mixto_partido_sentencia_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.9, p. 117; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_08.",
4.1.9,117,BENI,col_09,EN JUZGADO DE SENTENCI A,Juzgado de Sentencia,juzgado_sentencia,organo_judicial,confirmado,alta,"Cuadro 4.1.9, p. 117; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_09.",
4.1.9,117,BENI,col_10,"PROVINCIAS JUZGADO SENTENCIA, PUBLICO, TRABAJO JUEZ TÉCNICO","Juzgado Sentencia, Público, Trabajo y Juez Técnico",juzgado_sentencia_publico_trabajo_juez_tecnico,organo_judicial,confirmado,alta,"Cuadro 4.1.9, p. 117; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_10.",
4.1.9,117,BENI,col_11,TRIBUNAL DE SENTENCIA CON AMPLIACIO DE COMPETEN CIAS,Tribunal de Sentencia con Ampliación de Competencias,tribunal_sentencia_ampliacion_competencias,organo_judicial,confirmado,alta,"Cuadro 4.1.9, p. 117; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_11.",
4.1.9,117,BENI,col_12,TRIBUNAL DE SENTENCIA (Nominal),Tribunal de Sentencia (Nominal),tribunal_sentencia_nominal,organo_judicial,confirmado,alta,"Cuadro 4.1.9, p. 117; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_12.",
4.1.9,117,BENI,col_13,CONCILI ADOR,Conciliador,conciliador,conciliador,confirmado,alta,"Cuadro 4.1.9, p. 117; encabezado CONCILIADOR visible; posición y totales confirman la columna.","Categoría separada: el Anuario la cuenta en el total, pero corresponde a recurso humano."
4.1.9,117,BENI,col_14,JUZGADO AGROAM BIENTAL,Juzgado Agroambiental,juzgado_agroambiental,organo_judicial,confirmado,alta,"Cuadro 4.1.9, p. 117; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_14.",
4.1.9,117,BENI,col_15,TOTALES,Total,total,total,confirmado,alta,"Cuadro 4.1.9, p. 117; última columna rotulada TOTALES; reproduce la suma publicada de categorías, sin población.",Suma las categorías publicadas de órgano y conciliador; no incluye la población.
4.1.10,118,PANDO,col_01,"JUZGADOS, CONCILIADORES POBLACIÓN PROYECTADA AL",Población proyectada al 2022,poblacion_proyectada_2022,poblacion,confirmado,alta,"Cuadro 4.1.10, p. 118; primera columna rotulada POBLACIÓN PROYECTADA AL 2022; se excluye de la suma de órganos.",No representa un número de juzgados y se excluye de la suma del total.
4.1.10,118,PANDO,col_02,TRIBUNALES JUZGADO PÚBLICO INSTRUCCIÓN PENAL,Juzgado Público Mixto e Instrucción Penal,juzgado_publico_mixto_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.10, p. 118; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_02.",
4.1.10,118,PANDO,col_03,CONCILIADORES JUZGADO CONCILIADOR,Conciliador,conciliador,conciliador,confirmado,alta,"Cuadro 4.1.10, p. 118; encabezado CONCILIADOR visible; posición y totales confirman la columna.","Categoría separada: el Anuario la cuenta en el total, pero corresponde a recurso humano."
4.1.10,118,PANDO,col_04,PROVINCIAS JUZGADO AGROAMBIENTAL,Juzgado Agroambiental,juzgado_agroambiental,organo_judicial,confirmado,alta,"Cuadro 4.1.10, p. 118; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_04.",
4.1.10,118,PANDO,col_05,TOTALES,Total,total,total,confirmado,alta,"Cuadro 4.1.10, p. 118; última columna rotulada TOTALES; reproduce la suma publicada de categorías, sin población.",Suma las categorías publicadas de órgano y conciliador; no incluye la población.
